A.5.1;Orientations de la direction en matière de sécurité de l’information;;;
A.6.1;Organisation interne;;;
A.6.2;Appareils mobiles et télétravail;;;
A.7.1;Avant l’embauche;;;
A.7.2;Pendant la durée du contrat;;;
A.7.3;Rupture, terme ou modification du contrat de travail;;;
A.8.1;Responsabilités relatives aux actifs;;;
A.8.2;Classification de l’information;;;
A.8.3;Manipulation des supports;;;
A.9.1;Exigences métier en matière de contrôle d’accès;;;
A.9.2;Gestion de l’accès utilisateur;;;
A.9.3;Responsabilités des utilisateurs;;;
A.9.4;Contrôle de l’accès au système et aux applications;;;
A.10.1;Mesures cryptographiques;;;
A.11.1;Zones sécurisées;;;
A.11.2;Matériels;;;
A.12.1;Procédures et responsabilités liées à l’exploitation;;;
A.12.2;Protection contre les logiciels malveillants;;;
A.12.3;Sauvegarde;;;
A.12.4;Journalisation et surveillance;;;
A.12.5;Maîtrise des logiciels en exploitation;;;
A.12.6;Gestion des vulnérabilités techniques;;;
A.12.7;Considérations sur l’audit du système d’information;;;
A.13.1;Management de la sécurité des réseaux;;;
A.13.2;Transfert de l’information;;;
A.14.1;Exigences de sécurité applicables aux systèmes d’information;;;
A.14.2;Sécurité des processus de développement et d’assistance technique;;;
A.14.3;Données de test;;;
A.15.1;Sécurité de l’information dans les relations avec les fournisseurs;;;
A.15.2;Gestion de la prestation du service;;;
A.16.1;Gestion des incidents liés à la sécurité de l’information et améliorations;;;
A.17.1;Continuité de la sécurité de l’information;;;
A.17.2;Redondances;;;
A.18.1;Conformité aux obligations légales et réglementaires;;;
A.18.2;Revue de la sécurité de l’information;;;
